geoid,name,year,est_total_population,population_density,percentage_race_white,percentage_race_black_african_american,percentage_race_american_indian_alaska_native,percentage_race_asian,percentage_race_native_hawaiian_pacific_islander,percentage_race_other_race,percentage_race_two_plus_races,percentage_race_two_plus_races_includes_other_race,percentage_race_two_plus_races_excludes_other_race,registered_voters_total,partisan_lean_left,partisan_lean_right,polling_locations_total,registered_voters_per_polling_location,polling_locations_removed_since_last_general,polling_locations_added_since_last_general,est_total_housing_units,est_total_occupied_housing_units,est_total_vacant_housing_units,est_occupied_housing_units_with_vehicle_available,est_occupied_housing_units_no_vehicle_available
0500000US29207,"Stoddard County, Missouri",2016,29788,,0.972,0.015,0.001,0,0,0.001,0.01,0.001,0.009,,,,,,0,,,,,,
0500000US29209,"Stone County, Missouri",2016,31197,,0.965,0.001,0.008,0,0,0.006,0.018,0.002,0.016,,,,,,0,,,,,,
0500000US29211,"Sullivan County, Missouri",2016,6416,,0.927,0.014,0.005,0.007,0,0.031,0.016,0.003,0.013,,,,,,0,,,,,,
0500000US29213,"Taney County, Missouri",2016,53853,,0.925,0.009,0.007,0.008,0,0.024,0.027,0.002,0.024,,,,,,0,,,,,,
0500000US29215,"Texas County, Missouri",2016,25690,,0.93,0.018,0.023,0.001,0,0.003,0.025,0.001,0.024,,,,,,0,,,,,,
0500000US29217,"Vernon County, Missouri",2016,20836,,0.958,0.01,0.005,0.007,0,0,0.021,0,0.021,,,,,,0,,,,,,
0500000US29219,"Warren County, Missouri",2016,33290,,0.94,0.021,0.002,0.004,0.002,0.01,0.02,0,0.02,,,,,,0,,,,,,
0500000US29221,"Washington County, Missouri",2016,25002,,0.948,0.024,0.004,0,0.001,0,0.023,0.001,0.023,,,,,,0,,,,,,
0500000US29223,"Wayne County, Missouri",2016,13341,,0.97,0.007,0.004,0.001,0,0,0.018,0.001,0.018,,,,,,0,,,,,,
0500000US29225,"Webster County, Missouri",2016,37075,,0.955,0.012,0.004,0.003,0.002,0.008,0.016,0.002,0.014,,,,,,0,,,,,,
0500000US29227,"Worth County, Missouri",2016,2061,,0.977,0,0,0,0,0,0.023,0.005,0.018,,,,,,0,,,,,,
0500000US29229,"Wright County, Missouri",2016,18378,,0.967,0.006,0.002,0.003,0,0.005,0.017,0,0.017,,,,,,0,,,,,,
0500000US29510,"St. Louis city, Missouri",2016,316030,,0.456,0.479,0.002,0.031,0.001,0.009,0.022,0.001,0.021,,,,,,0,,,,,,
0500000US30001,"Beaverhead County, Montana",2016,9317,,0.953,0.001,0.022,0.017,0,0.002,0.006,0,0.006,,,,,,0,,,,,,
0500000US30003,"Big Horn County, Montana",2016,13214,,0.317,0.001,0.65,0.001,0,0.001,0.029,0.002,0.028,,,,,,0,,,,,,
0500000US30005,"Blaine County, Montana",2016,6609,,0.473,0.002,0.495,0,0.001,0.005,0.024,0.002,0.022,,,,,,0,,,,,,
0500000US30007,"Broadwater County, Montana",2016,5692,,0.943,0.002,0.015,0.014,0,0.004,0.022,0.003,0.019,,,,,,0,,,,,,
