geoid,cntyfp,tractfp,name,year,total_population,population_density,polling_locations_total,percentage_race_black_african_american
1400000US13013180106,13013,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2012,2471,518,0,0.105
1400000US13013180106,13013,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2014,2499,524,0,0.108
1400000US13013180106,13013,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2016,2773,581,1,0.114
1400000US13013180106,13013,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2018,2689,563,1,0.138
1400000US13013180106,13013,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2020,2506,536,1,0.123
1400000US13013180107,13013,13013180107,"Census Tract 1801.07, Barrow County, Georgia",2012,4105,555,0,0.089
1400000US13013180107,13013,13013180107,"Census Tract 1801.07, Barrow County, Georgia",2014,3942,533,0,0.094
1400000US13013180107,13013,13013180107,"Census Tract 1801.07, Barrow County, Georgia",2016,3904,528,1,0.022
1400000US13013180107,13013,13013180107,"Census Tract 1801.07, Barrow County, Georgia",2018,4061,548,1,0.013
1400000US13013180107,13013,13013180107,"Census Tract 1801.07, Barrow County, Georgia",2020,4336,599,1,0.008
1400000US13013180108,13013,13013180108,"Census Tract 1801.08, Barrow County, Georgia",2012,3505,446,0,0.046
1400000US13013180108,13013,13013180108,"Census Tract 1801.08, Barrow County, Georgia",2014,3326,424,0,0.057
1400000US13013180108,13013,13013180108,"Census Tract 1801.08, Barrow County, Georgia",2016,2825,360,1,0.056
1400000US13013180108,13013,13013180108,"Census Tract 1801.08, Barrow County, Georgia",2018,2889,369,1,0.094
1400000US13013180108,13013,13013180108,"Census Tract 1801.08, Barrow County, Georgia",2020,2872,366,1,0.058
1400000US13013180203,13013,13013180203,"Census Tract 1802.03, Barrow County, Georgia",2012,3494,1601,0,0.338
1400000US13013180203,13013,13013180203,"Census Tract 1802.03, Barrow County, Georgia",2014,3215,1473,0,0.232
1400000US13013180203,13013,13013180203,"Census Tract 1802.03, Barrow County, Georgia",2016,3743,1715,1,0.217
1400000US13013180203,13013,13013180203,"Census Tract 1802.03, Barrow County, Georgia",2018,3519,1612,1,0.27
1400000US13013180203,13013,13013180203,"Census Tract 1802.03, Barrow County, Georgia",2020,3687,1689,1,0.307
1400000US13013180204,13013,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2012,2351,404,0,0.246
1400000US13013180204,13013,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2014,2801,481,0,0.336
1400000US13013180204,13013,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2016,3020,519,2,0.325
1400000US13013180204,13013,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2018,2933,504,2,0.366
1400000US13013180204,13013,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2020,3202,550,2,0.296
1400000US13013180205,13013,13013180205,"Census Tract 1802.05, Barrow County, Georgia",2012,4307,1024,0,0.228
1400000US13013180205,13013,13013180205,"Census Tract 1802.05, Barrow County, Georgia",2014,4309,1024,0,0.188
1400000US13013180205,13013,13013180205,"Census Tract 1802.05, Barrow County, Georgia",2016,4397,1045,1,0.2
1400000US13013180205,13013,13013180205,"Census Tract 1802.05, Barrow County, Georgia",2018,4404,1047,1,0.204
1400000US13013180205,13013,13013180205,"Census Tract 1802.05, Barrow County, Georgia",2020,4708,1115,1,0.173
1400000US13013180206,13013,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2012,3123,1157,0,0.059
1400000US13013180206,13013,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2014,3007,1114,0,0.008
1400000US13013180206,13013,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2016,2864,1061,1,0.014
1400000US13013180206,13013,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2018,2905,1076,1,0.01
1400000US13013180206,13013,13013180206,"Census Tract 1802.06, Barrow County, Georgia",2020,3298,1221,1,0.069
1400000US13013180301,13013,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2012,2160,261,0,0.06
1400000US13013180301,13013,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2014,2119,256,0,0.033
1400000US13013180301,13013,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2016,2268,274,0,0.033
1400000US13013180301,13013,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2018,2332,282,0,0.059
1400000US13013180301,13013,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2020,3100,375,0,0.068
1400000US13013180302,13013,13013180302,"Census Tract 1803.02, Barrow County, Georgia",2012,5583,486,0,0.054
1400000US13013180302,13013,13013180302,"Census Tract 1803.02, Barrow County, Georgia",2014,5407,470,0,0.035
1400000US13013180302,13013,13013180302,"Census Tract 1803.02, Barrow County, Georgia",2016,5434,473,2,0.005
1400000US13013180302,13013,13013180302,"Census Tract 1803.02, Barrow County, Georgia",2018,5905,511,2,0.059
1400000US13013180302,13013,13013180302,"Census Tract 1803.02, Barrow County, Georgia",2020,5598,484,2,0.098
1400000US13013180303,13013,13013180303,"Census Tract 1803.03, Barrow County, Georgia",2012,3894,357,0,0.079
1400000US13013180303,13013,13013180303,"Census Tract 1803.03, Barrow County, Georgia",2014,3930,360,0,0.099
1400000US13013180303,13013,13013180303,"Census Tract 1803.03, Barrow County, Georgia",2016,4871,446,0,0.068
1400000US13013180303,13013,13013180303,"Census Tract 1803.03, Barrow County, Georgia",2018,5845,535,0,0.027
1400000US13013180303,13013,13013180303,"Census Tract 1803.03, Barrow County, Georgia",2020,5769,528,0,0.02
1400000US13013180401,13013,13013180401,"Census Tract 1804.01, Barrow County, Georgia",2012,4726,221,0,0.101
1400000US13013180401,13013,13013180401,"Census Tract 1804.01, Barrow County, Georgia",2014,5467,255,0,0.115
1400000US13013180401,13013,13013180401,"Census Tract 1804.01, Barrow County, Georgia",2016,5724,267,0,0.073
1400000US13013180401,13013,13013180401,"Census Tract 1804.01, Barrow County, Georgia",2018,5937,277,0,0.08
1400000US13013180401,13013,13013180401,"Census Tract 1804.01, Barrow County, Georgia",2020,5778,272,0,0.087
1400000US13013180402,13013,13013180402,"Census Tract 1804.02, Barrow County, Georgia",2012,5924,373,0,0.171
1400000US13013180402,13013,13013180402,"Census Tract 1804.02, Barrow County, Georgia",2014,6246,394,0,0.215
1400000US13013180402,13013,13013180402,"Census Tract 1804.02, Barrow County, Georgia",2016,6546,412,2,0.256
1400000US13013180402,13013,13013180402,"Census Tract 1804.02, Barrow County, Georgia",2018,6689,421,2,0.202
1400000US13013180402,13013,13013180402,"Census Tract 1804.02, Barrow County, Georgia",2020,6754,420,2,0.152
1400000US13013180501,13013,13013180501,"Census Tract 1805.01, Barrow County, Georgia",2012,5530,548,0,0.188
1400000US13013180501,13013,13013180501,"Census Tract 1805.01, Barrow County, Georgia",2014,5521,547,0,0.188
1400000US13013180501,13013,13013180501,"Census Tract 1805.01, Barrow County, Georgia",2016,5548,550,1,0.158
1400000US13013180501,13013,13013180501,"Census Tract 1805.01, Barrow County, Georgia",2018,6310,612,1,0.102
1400000US13013180501,13013,13013180501,"Census Tract 1805.01, Barrow County, Georgia",2020,8029,779,1,0.121
1400000US13013180502,13013,13013180502,"Census Tract 1805.02, Barrow County, Georgia",2012,4583,265,0,0.041
1400000US13013180502,13013,13013180502,"Census Tract 1805.02, Barrow County, Georgia",2014,4748,275,0,0.049
1400000US13013180502,13013,13013180502,"Census Tract 1805.02, Barrow County, Georgia",2016,4827,280,2,0.061
1400000US13013180502,13013,13013180502,"Census Tract 1805.02, Barrow County, Georgia",2018,4712,267,2,0.097
1400000US13013180502,13013,13013180502,"Census Tract 1805.02, Barrow County, Georgia",2020,4936,280,2,0.181
1400000US13013180503,13013,13013180503,"Census Tract 1805.03, Barrow County, Georgia",2012,5007,563,0,0.16
1400000US13013180503,13013,13013180503,"Census Tract 1805.03, Barrow County, Georgia",2014,5324,598,0,0.139
1400000US13013180503,13013,13013180503,"Census Tract 1805.03, Barrow County, Georgia",2016,4960,557,0,0.143
1400000US13013180503,13013,13013180503,"Census Tract 1805.03, Barrow County, Georgia",2018,5671,637,0,0.151
1400000US13013180503,13013,13013180503,"Census Tract 1805.03, Barrow County, Georgia",2020,5635,633,0,0.185
1400000US13015960101,13015,13015960101,"Census Tract 9601.01, Bartow County, Georgia",2012,1627,45,0,0
1400000US13015960101,13015,13015960101,"Census Tract 9601.01, Bartow County, Georgia",2014,1573,44,0,0
1400000US13015960101,13015,13015960101,"Census Tract 9601.01, Bartow County, Georgia",2016,1573,44,1,0
1400000US13015960101,13015,13015960101,"Census Tract 9601.01, Bartow County, Georgia",2018,1379,38,1,0.009
1400000US13015960101,13015,13015960101,"Census Tract 9601.01, Bartow County, Georgia",2020,1636,45,1,0.015
1400000US13015960102,13015,13015960102,"Census Tract 9601.02, Bartow County, Georgia",2012,9486,112,0,0.066
1400000US13015960102,13015,13015960102,"Census Tract 9601.02, Bartow County, Georgia",2014,9684,114,0,0.053
1400000US13015960102,13015,13015960102,"Census Tract 9601.02, Bartow County, Georgia",2016,10073,119,1,0.045
1400000US13015960102,13015,13015960102,"Census Tract 9601.02, Bartow County, Georgia",2018,9810,115,1,0.02
1400000US13015960103,13015,13015960103,"Census Tract 9601.03, Bartow County, Georgia",2020,3596,209,0,0.021
1400000US13015960104,13015,13015960104,"Census Tract 9601.04, Bartow County, Georgia",2020,2967,77,1,0
1400000US13015960105,13015,13015960105,"Census Tract 9601.05, Bartow County, Georgia",2020,3647,125,0,0
1400000US13015960200,13015,13015960200,"Census Tract 9602, Bartow County, Georgia",2012,11957,176,0,0.091
