stfp,geoid,cntyfp,baseyear,lastgeyear,changeyear,changenopolls,nopollsadded,nopollsremoved,baseyearpctcvapblack,baseyearpctblack,baseyearpcthispanic,baseyearpctcvapwhite,baseyearpctwhite,baseyearpopdensity,baseyearpollinglocstotal,baseyeartotalpop,baseyearcvap,baseyearpopperpoll,baseyearcvapperpoll,lastgeyearpollinglocstotal,lastgeyeartotalpop,lastgeyearcvap,lastgeyearpopperpoll,lastgeyearcvapperpoll,changeyearpopperpoll,changeyearcvapperpoll
55,55035,55035,2016,2014,2014 - 2016,6,3,3,0.008,0.008,0.022,0.909,0.927,159.745,37,101905,79570,2754,2150,37,100605,78595,2719,2124,35,26
55,55035,55035,2020,2018,2018 - 2020,12,6,6,0.011,0.012,0.026,0.897,0.909,163.233,38,104130,81780,2740,2152,38,102990,80345,2710,2114,30,38
55,55035,55035,2022,2020,2020 - 2022,4,2,2,0.011,0.013,0.028,0.893,0.9,165.686,38,105695,83365,2781,2193,38,104130,81780,2740,2152,41,41
55,55071,55071,2022,2020,2020 - 2022,4,1,3,0.010,0.012,0.047,0.894,0.92,137.858,38,81240,63285,2137,1665,40,78975,61640,1974,1541,163,124
55,55071,55071,2020,2018,2018 - 2020,9,4,5,0.011,0.012,0.043,0.901,0.927,134.014,40,78975,61640,1974,1541,41,79405,61795,1936,1507,38,34
55,55071,55071,2018,2016,2016 - 2018,4,2,2,0.009,0.009,0.038,0.909,0.943,134.744,41,79405,61795,1936,1507,41,80180,62230,1955,1517,-19,-10
55,55071,55071,2016,2014,2014 - 2016,4,2,2,0.005,0.006,0.036,0.916,0.945,136.047,41,80180,62230,1955,1517,41,80805,62490,1970,1524,-15,-7
55,55071,55071,2014,2012,2012 - 2014,0,0,0,0.005,0.005,0.033,0.920,0.944,137.118,41,80805,62490,1970,1524,41,81265,62385,1982,1521,-12,3
55,55017,55017,2014,2012,2012 - 2014,6,3,3,0.014,0.014,0.014,0.943,0.953,62.528,34,63050,48195,1854,1417,34,62360,47450,1834,1395,20,22
55,55017,55017,2020,2018,2018 - 2020,5,3,2,0.015,0.015,0.018,0.933,0.945,63.643,34,64175,49655,1887,1460,33,63635,48770,1928,1477,-41,-17
55,55017,55017,2022,2020,2020 - 2022,2,1,1,0.016,0.016,0.019,0.932,0.94,65.706,34,66255,51455,1948,1513,34,64175,49655,1887,1460,61,53
55,55019,55019,2014,2012,2012 - 2014,0,0,0,0.003,0.004,0.039,0.941,0.973,28.581,44,34575,23800,785,540,44,34610,23955,786,544,-1,-4
55,55091,55091,2020,2018,2018 - 2020,0,0,0,0.003,0.003,0.021,0.962,0.977,31.292,9,7260,5695,806,632,9,7260,5665,806,629,0,3
55,55091,55091,2022,2020,2020 - 2022,0,0,0,0.003,0.004,0.023,0.958,0.971,31.745,9,7365,5680,818,631,9,7260,5695,806,632,12,-1
55,55069,55069,2022,2020,2020 - 2022,0,0,0,0.006,0.007,0.020,0.949,0.956,32.320,20,28400,23195,1420,1159,20,27685,22445,1384,1122,36,37
55,55069,55069,2020,2018,2018 - 2020,4,2,2,0.007,0.007,0.019,0.950,0.964,31.507,20,27685,22445,1384,1122,20,27850,22445,1392,1122,-8,0
55,55069,55069,2018,2016,2016 - 2018,0,0,0,0.006,0.006,0.015,0.956,0.969,31.694,20,27850,22445,1392,1122,20,28170,22525,1408,1126,-16,-4
55,55069,55069,2016,2014,2014 - 2016,0,0,0,0.007,0.007,0.014,0.958,0.969,32.055,20,28170,22525,1408,1126,20,28565,22475,1428,1123,-20,3
55,55069,55069,2014,2012,2012 - 2014,2,1,1,0.008,0.008,0.013,0.960,0.967,32.502,20,28565,22475,1428,1123,20,28710,22400,1435,1120,-7,3
55,55067,55067,2022,2020,2020 - 2022,2,1,1,0.004,0.007,0.023,0.933,0.937,22.407,19,19510,15630,1026,822,19,19165,15275,1008,803,18,19
55,55067,55067,2020,2018,2018 - 2020,0,0,0,0.007,0.007,0.022,0.937,0.949,22.011,19,19165,15275,1008,803,19,19165,15235,1008,801,0,2
