pollid,pollname,x,y,changeyear,baseyear,changestatus,state
70ea0015-052f-4848-93b1-42622a992621,LIBERTY BAPTIST CHURCH,-90.036,32.341,2016 - 2018,2018,no_change,MS
70ea0015-052f-4848-93b1-42622a992621,LIBERTY BAPTIST CHURCH,-90.036,32.341,2018 - 2022,2022,removed,MS
7127633d-a85c-4fec-b7e1-838886f4568e,CLEARY FIRE DEPARTMENT,-90.171,32.168,2012 - 2014,2014,no_change,MS
7127633d-a85c-4fec-b7e1-838886f4568e,CLEARY FIRE DEPARTMENT,-90.171,32.168,2014 - 2016,2016,removed,MS
715844b9-60c6-45c1-ba92-4ddb2f71e34f,SHARON,-89.105,31.79,2012 - 2014,2014,no_change,MS
715844b9-60c6-45c1-ba92-4ddb2f71e34f,SHARON,-89.105,31.79,2014 - 2016,2016,no_change,MS
715844b9-60c6-45c1-ba92-4ddb2f71e34f,SHARON,-89.105,31.79,2016 - 2018,2018,no_change,MS
715844b9-60c6-45c1-ba92-4ddb2f71e34f,SHARON,-89.105,31.79,2018 - 2022,2022,no_change,MS
7186a244-c755-48d9-ae11-b66d6a342934,MEDGAR EVERS MUNICIPAL LIBRARY,-90.221,32.346,2012 - 2014,2014,no_change,MS
7186a244-c755-48d9-ae11-b66d6a342934,MEDGAR EVERS MUNICIPAL LIBRARY,-90.221,32.346,2014 - 2016,2016,no_change,MS
7186a244-c755-48d9-ae11-b66d6a342934,MEDGAR EVERS MUNICIPAL LIBRARY,-90.221,32.346,2016 - 2018,2018,no_change,MS
7186a244-c755-48d9-ae11-b66d6a342934,MEDGAR EVERS MUNICIPAL LIBRARY,-90.221,32.346,2018 - 2022,2022,no_change,MS
718ebc20-8b93-42c7-87f6-f285a3cec738,HEUCKS RETREAT,-90.406,31.61,2012 - 2014,2014,removed,MS
71bc989b-6708-4a0c-b2d6-17a427d8a1a0,FELLOWSHIP LODGE # 630,-88.947,30.397,2012 - 2014,2014,no_change,MS
71bc989b-6708-4a0c-b2d6-17a427d8a1a0,FELLOWSHIP LODGE # 630,-88.947,30.397,2014 - 2016,2016,no_change,MS
71bc989b-6708-4a0c-b2d6-17a427d8a1a0,FELLOWSHIP LODGE # 630,-88.947,30.397,2016 - 2018,2018,removed,MS
71c373f0-654b-40b0-bfa7-cdaec3ba50c9,GLUCKSTADT @ ST JOE,-90.107,32.518,2012 - 2014,2014,no_change,MS
71c373f0-654b-40b0-bfa7-cdaec3ba50c9,GLUCKSTADT @ ST JOE,-90.107,32.518,2014 - 2016,2016,no_change,MS
71c373f0-654b-40b0-bfa7-cdaec3ba50c9,GLUCKSTADT @ ST JOE,-90.107,32.518,2016 - 2018,2018,no_change,MS
71c373f0-654b-40b0-bfa7-cdaec3ba50c9,ST JOE CATHOLIC,-90.107,32.518,2018 - 2022,2022,no_change,MS
71dacabe-09c1-49eb-991b-9ec68873fdc5,MILL CREEK COMMUNITY CENTER,-89.411,31.247,2014 - 2016,2016,added,MS
