localityid,location_name_clean,r3latitude,r3longitude,state,base_year,change_year,geom,change_type
7a3dd3b5-cdfc-47bc-a004-268159bab8ab,AGAPE WORSHIP CENTER,34.160,-80.924,SC,2022,2020 - 2022,0101000020E61000004260E5D0223B54C014AE47E17A144140,no_change
7a3f3a4d-5854-42e3-a2f1-8907ed83c854,LESLIE M STOVER SCHOOL,34.184,-80.789,SC,2014,2012 - 2014,0101000020E6100000D122DBF97E3254C0643BDF4F8D174140,no_change
7a3f3a4d-5854-42e3-a2f1-8907ed83c854,LESLIE M STOVER SCHOOL,34.184,-80.789,SC,2016,2014 - 2016,0101000020E6100000D122DBF97E3254C0643BDF4F8D174140,no_change
7a3f3a4d-5854-42e3-a2f1-8907ed83c854,LESLIE M STOVER SCHOOL,34.184,-80.789,SC,2018,2016 - 2018,0101000020E6100000D122DBF97E3254C0643BDF4F8D174140,no_change
7a3f3a4d-5854-42e3-a2f1-8907ed83c854,LESLIE M STOVER SCHOOL,34.184,-80.789,SC,2020,2018 - 2020,0101000020E6100000D122DBF97E3254C0643BDF4F8D174140,no_change
7a3f3a4d-5854-42e3-a2f1-8907ed83c854,LESLIE M STOVER SCHOOL,34.184,-80.789,SC,2022,2020 - 2022,0101000020E6100000D122DBF97E3254C0643BDF4F8D174140,no_change
7a597a7d-7926-4511-9f25-8fc188fd7a4f,ALCORN MIDDLE SCHOOL,34.055,-81.030,SC,2014,2012 - 2014,0101000020E610000052B81E85EB4154C0D7A3703D0A074140,no_change
7a597a7d-7926-4511-9f25-8fc188fd7a4f,ALCORN MIDDLE SCHOOL,34.055,-81.030,SC,2016,2014 - 2016,0101000020E610000052B81E85EB4154C0D7A3703D0A074140,no_change
7a597a7d-7926-4511-9f25-8fc188fd7a4f,ALCORN MIDDLE SCHOOL,34.055,-81.030,SC,2018,2016 - 2018,0101000020E610000052B81E85EB4154C0D7A3703D0A074140,no_change
7a597a7d-7926-4511-9f25-8fc188fd7a4f,ALCORN MIDDLE SCHOOL,34.055,-81.030,SC,2020,2018 - 2020,0101000020E610000052B81E85EB4154C0D7A3703D0A074140,no_change
7a597a7d-7926-4511-9f25-8fc188fd7a4f,ALCORN MIDDLE SCHOOL,34.055,-81.030,SC,2022,2020 - 2022,0101000020E610000052B81E85EB4154C0D7A3703D0A074140,no_change
7a5d95dd-c03d-4971-8897-415289f6494e,DONALDS TOWN HALL,34.376,-82.348,SC,2014,2012 - 2014,0101000020E610000083C0CAA1459654C0E3A59BC420304140,no_change
7a5d95dd-c03d-4971-8897-415289f6494e,DONALDS TOWN HALL,34.376,-82.348,SC,2016,2014 - 2016,0101000020E610000083C0CAA1459654C0E3A59BC420304140,no_change
7a5d95dd-c03d-4971-8897-415289f6494e,DONALDS TOWN HALL,34.376,-82.348,SC,2018,2016 - 2018,0101000020E610000083C0CAA1459654C0E3A59BC420304140,no_change
7a5d95dd-c03d-4971-8897-415289f6494e,DONALDS TOWN HALL,34.376,-82.348,SC,2020,2018 - 2020,0101000020E610000083C0CAA1459654C0E3A59BC420304140,removed
7a769f2d-1f33-40d9-bbfc-7b56f4dce21b,ANGLICAN CHURCH PARRISH,32.470,-80.965,SC,2014,2012 - 2014,0101000020E6100000F6285C8FC23D54C05C8FC2F5283C4040,no_change
7a769f2d-1f33-40d9-bbfc-7b56f4dce21b,ANGLICAN CHURCH PARRISH,32.470,-80.965,SC,2016,2014 - 2016,0101000020E6100000F6285C8FC23D54C05C8FC2F5283C4040,no_change
